placeId,name,category,placeContext,peakSeason,peakTime,seasonShare,timeShare,advisoryLevel,advisoryMessage,_severeCount,_fatalCount,_evidencePeriod
P869,한라산 관음사 탐방로,자연관광,MOUNTAIN,봄,,0.67,0.33,CAUTION,봄철에 안전사고가 반복해서 보고된 곳입니다. 지정 탐방로를 벗어나지 마시고 일몰 전에 내려와 주세요.,5,3,2020-2026 뉴스 보도
P004,함덕해수욕장,자연관광,BEACH,여름,오후,0.67,0.67,CAUTION,여름철 오후에 안전사고가 반복해서 보고된 곳입니다. 지정된 물놀이 구역과 안전요원 근무 시간대를 이용해 주세요.,4,3,2020-2026 뉴스 보도
P331,한림항,교통시설,HARBOR,,,0.33,0.33,CAUTION,"안전사고가 반복해서 보고된 곳입니다. 부두와 방파제 가장자리, 테트라포드 위는 미끄러지기 쉬우니 올라가지 말아 주세요.",3,3,2020-2026 뉴스 보도
P359,황우지해안,자연관광,COAST,여름,오후,0.67,0.67,CAUTION,여름철 오후에 안전사고가 반복해서 보고된 곳입니다. 갯바위와 해안 절벽은 파도가 갑자기 높아질 수 있으니 가까이 가지 말아 주세요.,3,3,2020-2026 뉴스 보도
P318,월령포구,자연관광,HARBOR,여름,오후,1.0,1.0,NOTICE,"여름철 오후에 안전사고가 반복해서 보고된 곳입니다. 이곳은 어촌정주어항으로 지정된 어항구역입니다. 2027년 4월 22일부터 어촌·어항법에 따라 물놀이·다이빙이 금지되며 위반 시 과태료가 부과됩니다. 부두와 방파제 가장자리, 테트라포드 위는 미끄러지기 쉬우니 올라가지 말아 주세요.",4,2,2020-2026 뉴스 보도
P362,구엄포구,자연관광,HARBOR,,오후,0.5,1.0,NOTICE,"오후에 안전사고가 반복해서 보고된 곳입니다. 이곳은 어촌정주어항으로 지정된 어항구역입니다. 2027년 4월 22일부터 어촌·어항법에 따라 물놀이·다이빙이 금지되며 위반 시 과태료가 부과됩니다. 부두와 방파제 가장자리, 테트라포드 위는 미끄러지기 쉬우니 올라가지 말아 주세요.",4,2,2020-2026 뉴스 보도
P011,김녕해수욕장,자연관광,BEACH,여름,,1.0,0.5,NOTICE,여름철에 안전사고가 반복해서 보고된 곳입니다. 지정된 물놀이 구역과 안전요원 근무 시간대를 이용해 주세요.,3,2,2020-2026 뉴스 보도
P204,보목포구,자연관광,HARBOR,여름,오후,1.0,1.0,NOTICE,"여름철 오후에 안전사고가 반복해서 보고된 곳입니다. 부두와 방파제 가장자리, 테트라포드 위는 미끄러지기 쉬우니 올라가지 말아 주세요.",3,2,2020-2026 뉴스 보도
P145,문섬(서귀포해양도립공원),자연관광,GENERAL,,오후,0.5,1.0,NOTICE,오후에 안전사고가 반복해서 보고된 곳입니다. 현장 안내 표지와 통제 구역 안내를 확인해 주세요.,2,2,2020-2026 뉴스 보도
P232,산지천축제,문화·전시,EVENT_SITE,,,0.5,0.5,NOTICE,안전사고가 반복해서 보고된 곳입니다. 행사 기간에는 혼잡하니 안내 요원의 통제를 따라 주세요.,2,2,2020-2026 뉴스 보도
P304,애월해안도로,자연관광,COAST,,,0.5,0.5,NOTICE,안전사고가 반복해서 보고된 곳입니다. 갯바위와 해안 절벽은 파도가 갑자기 높아질 수 있으니 가까이 가지 말아 주세요.,2,2,2020-2026 뉴스 보도
P353,용담/용두암해안도로,자연관광,COAST,,야간,0.5,1.0,NOTICE,야간에 안전사고가 반복해서 보고된 곳입니다. 갯바위와 해안 절벽은 파도가 갑자기 높아질 수 있으니 가까이 가지 말아 주세요.,2,2,2020-2026 뉴스 보도
P438,법환포구,자연관광,HARBOR,,,0.5,0.5,NOTICE,"안전사고가 반복해서 보고된 곳입니다. 이곳은 지방어항으로 지정된 어항구역입니다. 2027년 4월 22일부터 어촌·어항법에 따라 물놀이·다이빙이 금지되며 위반 시 과태료가 부과됩니다. 부두와 방파제 가장자리, 테트라포드 위는 미끄러지기 쉬우니 올라가지 말아 주세요.",2,2,2020-2026 뉴스 보도
P446,김녕항,교통시설,HARBOR,,,0.5,0.5,NOTICE,"안전사고가 반복해서 보고된 곳입니다. 이곳은 국가어항으로 지정된 어항구역입니다. 2027년 4월 22일부터 어촌·어항법에 따라 물놀이·다이빙이 금지되며 위반 시 과태료가 부과됩니다. 부두와 방파제 가장자리, 테트라포드 위는 미끄러지기 쉬우니 올라가지 말아 주세요.",2,2,2020-2026 뉴스 보도
P480,서귀포항,교통시설,HARBOR,가을,,1.0,0.5,NOTICE,"가을철에 안전사고가 반복해서 보고된 곳입니다. 부두와 방파제 가장자리, 테트라포드 위는 미끄러지기 쉬우니 올라가지 말아 주세요.",2,2,2020-2026 뉴스 보도
P486,우도봉,자연관광,ISLAND,,오후,0.5,1.0,NOTICE,오후에 안전사고가 반복해서 보고된 곳입니다. 기상에 따라 배편이 결항될 수 있으니 운항 정보를 미리 확인해 주세요.,2,2,2020-2026 뉴스 보도
P895,세화항,자연관광,HARBOR,,오후,0.5,1.0,NOTICE,"오후에 안전사고가 반복해서 보고된 곳입니다. 이곳은 지방어항으로 지정된 어항구역입니다. 2027년 4월 22일부터 어촌·어항법에 따라 물놀이·다이빙이 금지되며 위반 시 과태료가 부과됩니다. 부두와 방파제 가장자리, 테트라포드 위는 미끄러지기 쉬우니 올라가지 말아 주세요.",2,2,2020-2026 뉴스 보도
