message_id,advisory_id,message_level,message_tone,message_template,required_items,target_user
MSG_01,SA_01,중,판단형,"고사리 채취 시기예요. 중산간에서는 방향을 잃기 쉬우니 꼭 2명 이상 함께 이동하시고, 휴대폰 완충·보조배터리·호루라기를 챙기세요. 길을 잃으면 즉시 119에 신고하고 국가지점번호를 확인해 주세요.","휴대폰,보조배터리,호루라기,여벌옷,물",전체
MSG_02,SA_02,상,단계형,"파쇄기 작업 전 안전장치를 점검하고, 헐거운 장갑·작업복은 말려들 수 있으니 피해주세요. 투입구에 손을 넣지 마시고 2인 1조 작업을 권장합니다.","보호장갑,보안경,밀착 작업복",[비관광] 작업자
MSG_03,SA_03,상,단계형,"전동가위는 절연 장갑 착용 시 안전센서가 작동하지 않을 수 있어요. 절단 부위와 손의 거리를 항상 확보하고, 이동 시에는 전원을 차단하세요.","전용 장갑,보안경",[비관광] 작업자
MSG_04,SA_04,중,판단형,"전정·정비 작업 전 농기구 상태를 점검하고, 무리한 자세의 장시간 작업은 피하세요. 작업 중 통증이 느껴지면 즉시 휴식하세요.","보호장갑,보안경",[비관광] 작업자
MSG_05,SA_05,상,단계형,"물놀이 전 준비운동을 하고 구명조끼를 반드시 착용하세요. 음주 후 입수, 항·포구 내 다이빙, 기상 악화 시 테트라포드 출입은 삼가주세요. 사고 시 즉시 119에 신고하고 주변 구조장비를 활용하세요.",구명조끼,전체
MSG_06,SA_06,중,판단형,"휴가철 야외활동이 늘어나는 시기예요. 물놀이 시 구명조끼를 착용하고, 등산·야외활동 시 긴소매·긴바지로 벌·뱀 접촉을 줄이세요. 위험구역 출입은 자제해 주세요.","구명조끼,긴소매 옷,모자,물",전체
MSG_07,SA_07,상,단계형,"벌초 시기예요. 예초기 킥백(칼날 튕김)에 주의하고 작업 목적에 맞는 칼날을 사용하세요. 이른 추석엔 온열·벌쏘임, 늦은 추석엔 낙상·일교차 심혈관 위험이 커집니다. 오전 작업 시 특히 주의하세요.","안면보호구,보호장갑,긴옷,벌쏘임 응급약",[비관광] 작업자·고령자
MSG_08,SA_08,중,판단형,"벌 활동이 왕성한 시기예요. 어두운 옷·향수는 피하고, 벌집 발견 시 자극하지 말고 자리를 벗어나세요. 쏘였을 때 어지러움·호흡곤란이 있으면 즉시 119에 신고하세요.","긴옷(밝은색),모자",전체
MSG_09,SA_09,중,판단형,"연휴 이동이 많은 시기예요. 장거리 운전 전 차량을 점검하고 졸음운전에 유의하세요. 성묘 시 벌·뱀 주의, 조리 중 화기 관리에 신경 써 주세요.",,전체
MSG_10,SA_10,중,판단형,"가을 산행 시기예요. 일몰이 빨라지니 하산 시간을 넉넉히 잡고, 큰 일교차에 대비해 겉옷을 챙기세요. 지정 탐방로를 벗어나지 마세요.","겉옷,헤드랜턴,물",전체·고령자
MSG_11,SA_11,중,판단형,감귤 수확 시기예요. 사다리 사용 시 평탄한 곳에 고정하고 2인 1조로 작업하세요. 운반차 이용 시 과적을 피해주세요.,"미끄럼방지 신발,안전모",[비관광] 작업자
MSG_12,SA_12,상,단계형,빙판길 낙상 위험 시기예요. 새벽·아침 그늘진 도로와 오름 진입로는 결빙될 수 있어요. 미끄럼방지 신발을 신고 보폭을 줄여 걸으세요. 주머니에 손을 넣지 마세요.,"미끄럼방지 신발,장갑,아이젠",전체·고령자
MSG_13,SA_13,상,단계형,"난방기기 사용이 늘어나는 시기예요. 전기장판·히터는 인증 제품을 사용하고, 외출 시 전원을 차단하세요. 문어발 콘센트 사용을 피하고 주변 가연물을 치워주세요.",,전체
MSG_14,SA_14,상,단계형,밀폐 공간 일산화탄소 중독 위험 시기예요. 텐트·차량 안에서 숯·가스 난방기기를 사용하지 마세요. CO 경보기를 반드시 갖추고 주기적으로 환기하세요.,일산화탄소 경보기,캠핑·차박·낚시객
MSG_15,SA_15,중,판단형,"설 연휴 이동·조리가 많은 시기예요. 귀성길 차량 점검과 안전거리 확보, 명절 음식 조리 중 자리 비움 금지를 지켜주세요.",,전체
MSG_16,SA_16,중,판단형,해빙기 지반이 약해지는 시기예요. 절개지·낙석 위험 구간과 출입 통제 구역에 접근하지 마세요. 균열이나 낙석 징후를 발견하면 신고해 주세요.,,전체
MSG_17,SA_17,중,판단형,"봄철 야외활동이 늘어나는 시기예요. 오름·올레길에서는 지정 탐방로를 이용하고, 일행과 함께 이동하세요. 위치를 알릴 수 있는 호루라기·휴대폰을 챙기세요.","휴대폰,호루라기,물",전체
MSG_18,SA_18,상,단계형,"폭염 시기예요. 낮 12~17시 야외활동을 줄이고, 물을 자주 마시며 그늘에서 휴식하세요. 어지러움·메스꺼움이 느껴지면 즉시 시원한 곳으로 이동하세요. 고령자는 실내 관광지를 권해드려요.","물,모자,양산",전체·고령자
MSG_19,SA_19,상,단계형,"가을 낚시철이에요. 갯바위·방파제에서는 구명조끼를 착용하고, 테트라포드에는 올라가지 마세요. 2명 이상 함께 하시고, 밤낚시 시 텐트 내 난방기기 사용에 주의하세요.","구명조끼,미끄럼방지 신발,랜턴",낚시객
MSG_20,SA_20,상,단계형,"태풍이 접근하고 있어요. 해안·하천·방파제 접근을 삼가고, 야외 일정은 실내로 변경하세요. 기상특보와 재난문자를 수시로 확인하고, 항공편 운항 정보를 미리 확인하세요.",,전체
