roadId,roadName,routeNo,section,roadType,riskNote,trafficRiskLevel
RS_1100,1100도로,지방도 1139호선,제주시 노형~서귀포 중문,중산간 횡단,"고지대 통과. 안개·결빙 다발, 급커브 연속",HIGH
RS_516,5·16도로,국도 11호선,제주시 산천단~서귀포 남원,중산간 횡단,한라산 동측 통과. 안개·노루 출현·급커브,HIGH
RS_PEACE,평화로,지방도 1135호선,제주시 노형~대정 동광,중산간 간선,"제주 최다 통행 간선. 고속 주행 구간, 안개 유입",HIGH
RS_BIJARIM,비자림로,지방도 1112호선,제주시 봉개~구좌 송당,중산간 간선,"삼나무 숲길. 야간 시야 제한, 노루 출현",MEDIUM
RS_NAMJO,남조로,지방도 1118호선,조천~남원,중산간 간선,중산간 통과. 안개·야생동물,MEDIUM
RS_SANROK_S,산록남로,지방도 1115호선,서귀포 중산간 동서축,중산간 간선,고도 변화 큰 구간,MEDIUM
RS_SANROK_N,산록북로,지방도 1117호선,제주시 중산간 동서축,중산간 간선,한라산 북측 중산간,MEDIUM
RS_ILJU_E,일주동로,국도 12호선,제주 동부 해안 순환,해안 간선,해안 순환 간선. 관광 통행량 많음,MEDIUM
RS_ILJU_W,일주서로,국도 12호선,제주 서부 해안 순환,해안 간선,해안 순환 간선,MEDIUM
RS_BEONYEONG,번영로,국도 97호선,제주시~성산,중산간 간선,동부 간선. 고속 주행 구간,MEDIUM
RS_AEJO,애조로,지방도,제주시 애월~조천,중산간 간선,우회 간선,MEDIUM
RS_SEOSEONG,서성로,지방도 1119호선,남원~표선 중산간,중산간 간선,,LOW
RS_CHEOMDAN,첨단로,지방도,제주시 첨단과학단지 일원,도시 간선,,LOW
RS_HAEMAJI,해맞이해안로,해안도로,구좌~성산 해안,해안 관광도로,관광 통행 집중. 보행자 혼재,MEDIUM
RS_JOHAM,조함해안로,해안도로,조천~함덕 해안,해안 관광도로,관광 통행 집중,MEDIUM
