placeId,fix,field,before,after,reason
P215,FIX35,mobilityCaveat,(공백),휠체어 이용 가능 구간은 '도두봉 내려오는 길~용연다리' 4.4km 구간에 한합니다(구간 난이도 중). 용담해안도로 따라 평이. 용두암 입구 전 8도 오르막 30m·용연다리 전 8-9도 내리막 20m 주의,구간명·거리 필수 안내 — 서비스 RETURN 절에 실리는 필드로 합성
P319,FIX35,mobilityCaveat,(공백),휠체어 이용 가능 구간은 '종달리 옛 소금밭~성산갑문 입구' 4.6km 구간에 한합니다(구간 난이도 중). 전구간 포장·평지. 배수로/횡단보도/노면깨짐 4개 지점 주의. 오조해녀의집 경사 12도,구간명·거리 필수 안내 — 서비스 RETURN 절에 실리는 필드로 합성
P329,FIX35,mobilityCaveat,(공백),휠체어 이용 가능 구간은 '국립수산과학원~위미항' 2.7km 구간에 한합니다(구간 난이도 상). 4-10도 오르막/내리막 경사 5개 구간. 위미2리 포구서 우회. 노면 깨짐 다수. 동행자 도움 필수,구간명·거리 필수 안내 — 서비스 RETURN 절에 실리는 필드로 합성
P329,FIX35,(노출정책),-,조건검색 제외 / 상태확인만 안내,mobilityAccess=NONE + 실측구간 보유 — 코스 전체 접근 불가로 조건검색 비노출
P488,FIX35,mobilityCaveat,(공백),휠체어 이용 가능 구간은 '쇠소깍~보목포구' 2.6km 구간에 한합니다(구간 난이도 중). 경사 4-8도 오르막 다수. 430m 지점부터 보차구분 없음. 보목어촌 화장실 잠금장치 고장,구간명·거리 필수 안내 — 서비스 RETURN 절에 실리는 필드로 합성
P503,FIX35,recommendForMobility,N,Y,실측 휠체어 구간 보유 — activityAccess=UNAVAILABLE 일괄판정에서 복원
P503,FIX35,mobilityCaveat,(공백),휠체어 이용 가능 구간은 '논짓물~대평포구' 3.6km 구간에 한합니다(구간 난이도 상). 자연지형 7-10도 이상 경사 6개 구간. 카페8길 유효폭 73cm. 동행자 도움 필수,구간명·거리 필수 안내 — 서비스 RETURN 절에 실리는 필드로 합성
P503,FIX35,(노출정책),-,조건검색 제외 / 상태확인만 안내,mobilityAccess=NONE + 실측구간 보유 — 코스 전체 접근 불가로 조건검색 비노출
P619,FIX35,mobilityCaveat,(공백),휠체어 이용 가능 구간은 '엉알길 입구~자구내포구 입구' 1.1km 구간에 한합니다(구간 난이도 중). 차량 접근 불가. 수월봉 입구 8-16도 내리막 140m. 자구내포구서 역진입 왕복 2.2km 추천,구간명·거리 필수 안내 — 서비스 RETURN 절에 실리는 필드로 합성
P621,FIX35,mobilityCaveat,(공백),휠체어 이용 가능 구간은 '일성콘도~금능으뜸해변 입구' 2.1km 구간에 한합니다(구간 난이도 중). 차량 접근 불가. 중간 마을길 폭 좁음. 일성콘도 옆 샛길로 진입,구간명·거리 필수 안내 — 서비스 RETURN 절에 실리는 필드로 합성
P624,FIX35,mobilityCaveat,(공백),휠체어 이용 가능 구간은 '해비치호텔&리조트~가마리개 쉼터' 4.8km 구간에 한합니다(구간 난이도 중). 경사구간 없는 평지·연석 보차구분으로 안전. 종점 포구 경사 4-5도. 등대길 경사 11-14도 우회,구간명·거리 필수 안내 — 서비스 RETURN 절에 실리는 필드로 합성
