risk_id,rule_id,risk_name,risk_name_en,env_id,risk_type,condition_expr,threshold_min,threshold_max,threshold_unit,risk_level,target_scope,evidence_source,rule_status
RP_WIND_01,TR_WIND_02,강풍_노출구간주의,WindExposureCaution,ENV_WIND_SPEED,강풍위험,"wind_speed >= 7 AND wind_speed < 10 AND zone IN [해안,오름,전망대]",7.0,10.0,m/s,주의,해안·오름·전망대,기상청,적용
RP_WIND_02,TR_WIND_03,강풍_노출구간회피,WindExposureAvoid,ENV_WIND_SPEED,강풍위험,wind_speed >= 10 AND wind_speed < 14,10.0,14.0,m/s,위험,해안·오름·노출구간,기상청,적용
RP_WIND_03,TR_WIND_04,강풍특보_통제,WindAlertControl,ENV_WIND_SPEED,강풍위험,wind_speed >= 14,14.0,,m/s,위험,전반,"기상청 강풍특보 / 강풍주의보 구간(14~21)—시간조정, 경보21+는 실시간특보로 통제",적용
RP_RAIN_01,TR_RAIN_02,강수_미끄럼주의,RainSlipCaution,ENV_RAIN_AMOUNT,강수위험,rain_mm_h >= 3 AND rain_mm_h < 10,3.0,10.0,mm/h,주의,트레킹·오름·계곡,기상청,적용
RP_RAIN_02,TR_RAIN_03,강수_트레킹회피,RainTrekkingAvoid,ENV_RAIN_AMOUNT,강수위험,rain_mm_h >= 10 AND rain_mm_h < 20,10.0,20.0,mm/h,위험,트레킹·오름·계곡,기상청,적용
RP_RAIN_03,TR_RAIN_04,호우_이동자제,HeavyRainControl,ENV_RAIN_AMOUNT,강수위험,rain_mm_h >= 20,20.0,,mm/h,매우위험,전반·계곡·세월교,기상청,적용
RP_FLASHFLOOD_01,TR_RAIN_03,상류강수_하류범람위험,FlashFloodRisk,ENV_UPSTREAM_RAIN,강수위험,upstream_region = 한라산권 AND rain_mm_h >= 10,10.0,,mm/h,위험,세월교·계곡구간,올레 인터뷰·기상청,적용
RP_HEAT_01,TR_TEMP_02,폭염_건강주의,HeatHealthCaution,ENV_APPARENT_TEMP,폭염위험,apparent_temp >= 32 AND apparent_temp < 33,32.0,33.0,C,주의,야외 장시간 체류지,질병관리청,적용
RP_HEAT_02,TR_TEMP_03,폭염_온열질환위험,HeatIllnessRisk,ENV_APPARENT_TEMP,폭염위험,apparent_temp >= 33 AND apparent_temp < 35,33.0,35.0,C,위험,야외 장시간 체류지,기상청 폭염주의보,적용
RP_HEAT_03,TR_TEMP_04,폭염경보_통제,HeatAlertControl,ENV_APPARENT_TEMP,폭염위험,apparent_temp >= 35,35.0,,C,통제,전반,기상청 폭염경보,적용
RP_ICE_01,TR_COLD_02,결빙_미끄럼위험,IceSlipRisk,ENV_MIN_TEMP,한파위험,min_temp <= 0 AND precipitation = true,,0.0,C,주의,도로·오름 진입 동선,기상청,적용
RP_COLD_01,TR_COLD_04,한파_저체온위험,ColdHypothermiaRisk,ENV_MIN_TEMP,한파위험,min_temp <= -12,,-12.0,C,통제,산지·전반,기상청 한파특보,적용
RP_WAVE_01,TR_WAVE_02,파고_갯바위주의,WaveRockCaution,ENV_WAVE_HEIGHT,파고위험,"wave_height >= 1.0 AND wave_height < 2.0 AND zone IN [갯바위,방파제]",1.0,2.0,m,주의,갯바위·방파제,기상청 파고등급,적용
RP_WAVE_02,TR_WAVE_03,파고_해안회피,SwellWaveRisk,ENV_WAVE_HEIGHT,파고위험,wave_height >= 2.0 AND wave_height < 3.0,2.0,3.0,m,위험,해안산책로·갯바위,기상청 파고등급·올레 인터뷰(너울),적용
RP_WAVE_03,TR_WAVE_04,풍랑특보_해안통제,WaveAlertControl,ENV_WAVE_HEIGHT,파고위험,wave_height >= 3.0,3.0,,m,위험,해안 전반,"기상청 풍랑특보 / 풍랑주의보 구간(3~5)—시간조정, 경보5+는 실시간특보로 통제",적용
RP_SNOW_01,TR_SNOW_02,적설_이동주의,SnowTravelCaution,ENV_SNOW_DEPTH,적설위험,snow_24h >= 1 AND snow_24h < 5,1.0,5.0,cm,주의,산간도로·오름 진입,기상청,적용
RP_SNOW_02,TR_SNOW_03,대설_이동회피,SnowTravelAvoid,ENV_SNOW_DEPTH,적설위험,snow_24h >= 5,5.0,,cm,위험,산간 전반,기상청 대설특보,적용
